REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,
mongo,750,closed,2,2014-08-18 15:11:19,783.77,,1,,"b""b' This has been merged in url '""",,,,,,,,,,,
mongo,750,closed,closed,2014-08-20 12:58:39,838.78,0,4,0,,,,,,,,,,,,
mongo,750,closed,-,-,-,0,4,0,,,,,,,,,,,,
mongo,762,closed,opened,2014-08-29 14:32:11,,,,,,,,,,,,,,,,
mongo,762,closed,title,2014-08-29 14:32:11,00:00,,1,,"b""b' SERVER-14440 Bundle OpenSSL in Windows Server 2008 R2+ SSL MSI'""",,,,,,,,,,,
mongo,762,closed,closed,2014-08-29 14:50:17,18.1,0,1,0,,,,,,,,,,,,
mongo,762,closed,reopened,2014-08-29 15:03:31,13.23,0,1,0,,,,,,,,,,,,
mongo,762,closed,closed,2014-08-29 15:51:17,47.77,0,1,0,,,,,,,,,,,,
mongo,762,closed,1,2014-08-29 14:32:11,80.2,,1,,"b""b' url '""",,,,,,,,,,,
mongo,762,closed,2,2014-08-29 14:32:11,83.55,,1,,"b""b' Reverted in url '""",,,,,,,,,,,
mongo,762,closed,3,2014-08-29 14:32:11,188.4,,1,,"b""b' Fixed in url '""",,,,,,,,,,,
mongo,762,closed,-,-,-,0,4,0,,,,,,,,,,,,
mongo,837,closed,opened,2014-10-24 01:27:45,,,,,,,,,,,,,,,,
mongo,837,closed,title,2014-10-24 01:27:45,00:00,,1,,"b'b""  SERVER-15793 Pass the old record to the storage engine\'s updateRecord function.""'",,,,,,,,,,,
mongo,837,closed,body,2014-10-24 01:27:45,00:00,,,1,"b'b"" Now", any updateRecord implementation that needs the old recordno longer needs to do a read-before-write. One possible implementation isa RecordStore that maintains the data size of all records and needs toknow the size delta of every update. The upstream rocks engine will immediately benefit from this. I have not included any changes to rocks, however," as that is outside of my realm. url  All unit tests pass and so do the core js tests that start with \'update\' (ie: *\'""'",,,,,,,,
