REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,278,closed,4,2013-07-22 19:03:56,22.52,,,1,"b'b"" I believe I\'ve figured out the issue. Before", my code looked something like this: None of the info in the ApiProperty was showing up in Swagger. This was due to the way that Scala annotates the parameters to the constructor of the case class (documented [here]url  I was able to make this work by using a type alias as mentioned on that page so that the annotation gets copied to the field: If this works for everyone," it might be nice to get this added to the documentation somewhere.""'",,,,
scalatra,278,closed,5,2013-07-22 19:03:56,5.63,,1,,"b""b' Also"," it looks like this works for me in both 2.2.1 and 2.2.2-SNAPSHOT'""",,,,,
scalatra,278,closed,6,2013-07-22 19:03:56,0.57,,1,,"b""b' So this should do the trick?url '""",,,,,,
scalatra,278,closed,7,2013-07-22 19:03:56,0.72,,1,,"b""b' I think you just need to do and then things start to work?'""",,,,,,
scalatra,278,closed,8,2013-07-22 19:03:56,5.57,,1,,"b""b' Yeah"," that works for me on 2.2.2-SNAPSHOT. Should have known someone had already figured it out.'""",,,,,
scalatra,278,closed,closed,2013-07-26 02:54:55,31.7,0,9,1,,,,,,,
scalatra,278,closed,-,-,-,0,9,1,,,,,,,
scalatra,283,closed,opened,2013-07-26 21:41:57,,,,,,,,,,,
scalatra,283,closed,title,2013-07-26 21:41:57,00:00,,1,,"b""b' GZipSupport fails when Accept-Encoding has more than one type'""",,,,,,
scalatra,283,closed,body,2013-07-26 21:41:57,00:00,,1,,"b'b\' The current version (2.2.1) only supports GZIP when the Accept-Encoding header contains a single ""gzip"" string: However modern browsers typically support multiple formats", eg \\\'gzip,deflate,sdch\\\'. In this case the method will return false since the header value doesn\\\'t equal the singular \\\'gzip\\\' string. This should be changed to check if the header value contains the \\\'gzip\\\' string instead.\'',,,
scalatra,283,closed,1,2013-07-26 21:41:57,21.67,,1,,"b""b' Hmm no longer sure this is the cause"," closing.'""",,,,,
scalatra,283,closed,closed,2013-07-26 22:03:38,21.68,0,3,0,,,,,,,
scalatra,283,closed,2,2013-07-26 21:41:57,8.45,1,,,"b'b"" And sorry again", reopening. Tested with scalatra-gzip. Using Scalatra 2.2.0 gzip works correctly," but changing the example\'s  to use Scalatra 2.2.1 gzip does not get set. I believe this is because the isGzip() was changed from checking if the header contains \'gzip\' to instead checking if the header _matches_ \'gzip\'.""'",,,,
scalatra,283,closed,reopened,2013-07-26 22:12:04,8.43,1,3,0,,,,,,,
scalatra,283,closed,3,2013-07-26 21:41:57,752.43,,1,,"b""b' Yeah"," I get this error too.'""",,,,,
scalatra,283,closed,closed,2014-04-21 22:34:36,22.53,1,4,0,,,,,,,
scalatra,283,closed,-,-,-,1,4,0,,,,,,,
scalatra,368,open,opened,2014-03-03 16:36:58,,,,,,,,,,,
