REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,108,closed,body,2011-08-20 22:15:35,00:00,,,1,"b'b"" Currently", there is no way to force the language if you\'re using the codeblock tag. Of course, you can the backtick syntax, but it\'s just not a pretty and you have to indent to use it. The situation was really showed this as an issue was an article I posted about Pow! and Rack: {% codeblock  %}Bunch of ruby code{% endcodeblock %} Since .ru doesn\'t have a Pygments equivalent, it gave me a parsing error. Not sure what the cleanest way to do it is, maybe something like lang:ruby or #ruby in the tag? Not critical by any means," but something to discuss.""'",,,,,,,,,
octopress,108,closed,closed,2011-08-20 22:39:58,24.38,0,1,1,,,,,,,,,,,,,,,,
octopress,108,closed,1,2011-08-20 22:15:35,27.45,,1,,"b'b"" I should add a way to force a language", too, but for now, if you pull the latest," .ru is now aliased as in the pygments_ plugin. I\'d like to add aliases for as many things as necessary so people don\'t have to resort to forcing very much. But I do need to add the ability to force.""'",,,,,,,,,,,
octopress,108,closed,reopened,2011-08-20 22:43:14,3.27,0,2,1,,,,,,,,,,,,,,,,
octopress,108,closed,closed,2011-08-21 00:49:18,126.07,0,2,1,,,,,,,,,,,,,,,,
octopress,108,closed,2,2011-08-20 22:15:35,132.03,,,1,"b""b' Cool"," now just add lang:some_language anywhere and it will override. Examples\\xe2\\x80\\xa6   This will override any other language detection method. So you can include_code and specify lang:js and it will highlight using javascript. Thanks for the idea.'""",,,,,,,,,,,,,,
octopress,108,closed,3,2011-08-20 22:15:35,724.07,,,1,"b""b' Awesome. Thanks so much!'""",,,,,,,,,,,,,,,
octopress,108,closed,4,2011-08-20 22:15:35,1312.75,,1,,"b""b' Docs added. url url '""",,,,,,,,,,,,,,,
octopress,108,closed,-,-,-,0,3,3,,,,,,,,,,,,,,,,
octopress,111,closed,opened,2011-08-23 03:20:50,,,,,,,,,,,,,,,,,,,,
octopress,111,closed,title,2011-08-23 03:20:50,00:00,,1,,"b""b' Remove system specific file I/O from Rakefile '""",,,,,,,,,,,,,,,
