REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,354,closed,4,2010-10-05 01:22:44,638.75,,,1,"b'b"" Randi and Gina", Gina-a couple of design Qs for you below. Randi, will email you separately about a few other things. Looks like a great start! On 2 Jul,2011, at 10:41 PM, randi2kewl wrote:re: checking the link, I think it will make sense to check links up to at least a week after posting, maybe even longer (say a month).  Activity on these links sometimes goes in cycles if a post is RTd later. To get the age of the link, it seems fine to get the date from the associated post. (The same link could be associated w/ multiple posts but that\'s okay in this context). In terms of tracking the  links: because we want to do periodic checks, it could make sense to keep bookkeeping as plugin \'instance\'  data, similar to the data in the tu_instances_twitter table.  This lets us work progressively from oldest to newest candidate link, doing a configurable chunk of work each crawler run from where we left off last time, and then cycle back to recheck starting with the links from e.g. a month previous to the current date. Gina does this approach (using instance data bookkeeping) make sense to you?  If so," I think we would want to create a new instances table for this plugin (e.g. \'tu_instances_expandurls\')?""'",,,,,,,,,,,,,,,,
ThinkUp,354,closed,5,2010-10-05 01:22:44,492.58,1,,,b'b\' On Sun, Jul 3, 2011 at 7:20 AM, amygdalareply@wrote:Makes sense. So," it would be something like a ""Last update"" field", andif it\\\'s older than a month, that triggers the crawler to go back andrefresh again?Yes, it does. We would use a tu_instances_expandurls table to doinstance-level tracking, because it left joins onto tu_instances. I\\\'mhaving trouble imagining how we\\\'d do this bookkeeping on aper-instance level, versus a per-link level. What would the fields be? ##  url url \'',,,,,,,,,,,,,,,,,,,,
ThinkUp,354,closed,6,2010-10-05 01:22:44,1019.42,,1,,"b'b"" For the instance fields", one approach would be to keep two pieces of information-the timestamp of when we last \'finished checking\' the links, and a \'cursor\' timestamp indicating where we stopped work on the last crawler run. With this information we could do something like the following.Each time the crawler runs, do two things:process N1 of the links [those with no ], oldest first, also expanding them as necessary. For this part, we don\'t need to keep any instance information as long as we work up through the links chronologically.recheck N2 of the already-processed bitly links as follows.  Each time the crawler runs, first see if the \'cursor\' value is 0.  If it is, test the \'finished_checking\' date. If it is < 6 hours ago (or some reasonable configurable value), just exit.  This prevents constant rechecking, which is probably not necessary.  If the cursor == 0 and \'finished_checking\' is Then fetch N2 links with date >= the cursor date.  After processing the N2 items, set the cursor to the date where we left off.  When we run out of items," set the cursor = 0 and \'finished_checking\' to the current time.""'",,,,,,,,,,,,,,,,,
ThinkUp,354,closed,7,2010-10-05 01:22:44,761.55,,1,,"b""b' Ah yes", makes sense to me. Sounds like the way to go. On Mon, Jul 4, 2011 at 8:32 AM," amygdalareply@wrote:##  url url '""",,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,354,closed,closed,2012-02-27 09:30:09,602.18,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,354,closed,-,-,-,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,opened,2010-10-08 18:22:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,title,2010-10-08 18:22:07,00:00,,1,,"b""b' Installer: Timezone usability'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,body,2010-10-08 18:22:07,00:00,,,1,"b'b"" Right now the list of possible timezone choices is super long", drawing directly from PHP\'s complete timezone list: url  Its default value is to whatever  is set to in . It would be nice to shorten it to something easier to select from, like this list:url  And even if  is not set," auto-detect what the server\'s timezone is and make it the default selected value in the dropdown.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,1,2010-10-08 18:22:07,6.15,,1,,"b""b' Perhaps use this code:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,2,2010-10-08 18:22:07,302.08,,,1,"b'b"" Just checked this out", definitely needs to be done. Sketching up some mockups," then I\'ll post here for some feedback. Then implementation! ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,3,2010-10-08 18:22:07,453.75,,1,,"b'b"" I\'ve made the changes"," and would like to send it for review in this pull request: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,closed,2011-04-13 23:25:52,303.75,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,reopened,2011-04-13 23:28:28,2.6,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,closed,2011-08-08 21:41:59,1333.52,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,369,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,opened,2010-10-29 22:02:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,title,2010-10-29 22:02:28,00:00,,1,,"b""b' Remove tabbed interface from Configuration area'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,body,2010-10-29 22:02:28,00:00,,1,,"b""b' Instead of JavaScript tabs", revamp configuration area to look more like the regular interface, with a left hand side menu, which perhaps looks like: ConfigurationPluginsAllCollect (Twitter, Facebook)Process (ExpandURLs," Geoencoder)Display (Google Maps View)  Application Settings  Your AccountChange Your Password  AdminAll AccountsApplication settings'""",,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,1,2010-10-29 22:02:28,156.97,,1,,"b'b"" Here\'s an initial mockup of the Configuration area changes:url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,closed,2011-04-13 23:25:52,83.4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,reopened,2011-04-13 23:29:14,3.37,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
