REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,body,2012-06-05 02:15:53,00:00,,1,,"b""b' Request for new icon: overlineLike this:url  Regards","'""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,1,2012-06-05 02:15:53,1339.32,1,,,"b'b"" Having a hard time justifying this one. What\'s the semantic usage of this icon? Let me know"," and I\'ll reopen.""'",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,closed,2013-03-29 00:35:12,1339.32,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,2,2012-06-05 02:15:53,835.42,,,1,"b'b\' Since Font Awesome has ""icon-strikethrough"" and ""icon-underline"""," whould be nice have ""icon-overline"".In CSS", there is a text-decoration atribute overline. url So, online editor programs can put this option with a nice icon :)\'',,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,3,2012-06-05 02:15:53,331.28,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,4,2012-06-05 02:15:53,61.85,,1,,"b""b' +1", Would actually be useful to me right now.(I know," quite old issue.. but still..)'""",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,5,2012-06-05 02:15:53,729.63,,1,,"b""b' old and closed reopening here'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,reopened,2014-08-31 09:13:23,518.18,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,6,2012-06-05 02:15:53,568.63,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,7,2012-06-05 02:15:53,1132.72,,1,,"b""b' 3 years and no icon?  the time is now surely?'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,8,2012-06-05 02:15:53,205.57,,,1,"b""b' Would love to see this in 5.0!'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,9,2012-06-05 02:15:53,1197.7,,1,,"b""b' Could this be a Pro icon?'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,10,2012-06-05 02:15:53,1411.53,,,1,"b'b"" We\'ve added an overline icon to Font Awesome Pro: url ""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,closed,2019-06-10 12:29:32,196.15,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,232,closed,-,-,-,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,opened,2012-06-05 20:21:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,title,2012-06-05 20:21:16,00:00,,1,,"b""b' Icon request: icon-color-palette (icon-theme / icon-style / icon-color / icon-paintbrush)'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,body,2012-06-05 20:21:16,00:00,,,1,"b""b' Similar to:url  **edit by tagliala:**Simpler version because of url  url Thanks'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,1,2012-06-05 20:21:16,1438.43,,,1,"b""b' Yes!'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,2,2012-06-05 20:21:16,607.23,,1,,"b""b' I agree. Or a color wheel'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,3,2012-06-05 20:21:16,596.78,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,4,2012-06-05 20:21:16,235.63,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,5,2012-06-05 20:21:16,262.55,,,1,"b""b' Love it. Adding to 3.1.0.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,6,2012-06-05 20:21:16,177.45,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,7,2012-06-05 20:21:16,983.08,,1,,"b""b' +1", could be just a paint bucket, a paint brush," or paint splatter too'""",,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,8,2012-06-05 20:21:16,1281.63,,,1,"b""b' +1"," better example:![color_palette]url '""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,9,2012-06-05 20:21:16,832.1,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,10,2012-06-05 20:21:16,118.4,,1,,"b""b' +1 (core need: color palette selection is central to pretty much any and every application)'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,11,2012-06-05 20:21:16,1004.15,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,12,2012-06-05 20:21:16,956.97,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,13,2012-06-05 20:21:16,746.53,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,14,2012-06-05 20:21:16,942.33,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,15,2012-06-05 20:21:16,1427.68,,1,,"b""b' +1 :thumbsup: '""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,16,2012-06-05 20:21:16,23.83,,,1,"b""b' +!'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,17,2012-06-05 20:21:16,543.17,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,18,2012-06-05 20:21:16,1334.48,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,19,2012-06-05 20:21:16,469.13,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,20,2012-06-05 20:21:16,29.28,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,21,2012-06-05 20:21:16,0.5,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,22,2012-06-05 20:21:16,1153.03,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,23,2012-06-05 20:21:16,323.37,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,24,2012-06-05 20:21:16,1419.35,,1,,"b""b' +1 for @madiejd'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,25,2012-06-05 20:21:16,19.05,1,,,b'b\' I\\\'m kind of confused. This request has been open for almost 2 years now, and as far as I know the icon hasn\\\'t been added," while others have gone in. Is there something preventing it? Is there some sort of ""critical request mass"" that an addition must achieve before it will be considered?\''",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,26,2012-06-05 20:21:16,5.8,,1,,"b'b\' @c0bra I couldn\\\'t agree more. They seem to think that ""spoons"" are a more popular icon. I made a very similar comment to yours yesterday (on one of the duplicate threads) and they basically said I should use Fontello (or similar) if I want to mix FA and other icons. Also", url \'',,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,27,2012-06-05 20:21:16,40.98,,1,,"b'b"" I prefer not to use Fontello because of design inconsistencies. Sure"," you could work a missing icon into the bunch\\xe2\\x80\\x94and maybe it\'s necessary for edge cases\\xe2\\x80\\x94but it\'s just not the same as having icons crafted (or at least approved) by the original designer.""'",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,28,2012-06-05 20:21:16,15.32,1,,,"b'b"" Totally agreed. Not to mention it\'s a pain using things like Fontello when you need to go back in and remake the whole batch because you need that one extra icon you forgot the first time around.""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,29,2012-06-05 20:21:16,131.18,,1,,"b""b' there is always the option to fork fontawesome and add the icons you need'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,30,2012-06-05 20:21:16,641.65,1,,,"b""b' I would agree if It were a bizarre icon request'""",,,,,,,,,,,,,,,,,,,,,,,
