REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,4,2014-12-08 02:48:57,58.38,,,1,"b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,5,2014-12-08 02:48:57,24.58,,,1,"b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described"," please reopen the issue thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,closed,2015-06-04 18:55:23,966.43,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,6,2014-12-08 02:48:57,1396.3,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed"," and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,reopened,2015-06-05 18:11:40,1396.28,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,7,2014-12-08 02:48:57,1010.88,,1,,"b""b' This error still occurs with the latest sources on FreeBSD 10.1-RELEASE-p10'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,8,2014-12-08 02:48:57,440.38,,1,,"b""b' Diff up for review internally: D2182912'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,closed,2015-06-24 16:42:17,1350.62,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,106,closed,-,-,-,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,opened,2014-12-10 14:25:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,title,2014-12-10 14:25:41,00:00,,1,,"b""b' failed compilation on debian '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,body,2014-12-10 14:25:41,00:00,,1,,"b'b"" Trying to compile latest version and I get this: In file included from :22:0:./../:130:3: error: looser throw specifier for \'virtual folly::EventBase::~EventBase()\'In file included from ./../:22:0","from :22:./../:29:13: error: overriding \'virtual folly::wangle::Executor::~Executor() noexcept (true)\'make[2]: [] Error 1make[2]: Leaving directory  /\'make: \\\\* [all] Error 2 Any thoughts?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,1,2014-12-10 14:25:41,245.1,,,1,"b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,2,2014-12-10 14:25:41,24.6,,,1,"b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described"," please reopen the issue thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,closed,2015-06-04 18:55:24,269.72,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,3,2014-12-10 14:25:41,1396.2,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed"," and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,reopened,2015-06-05 18:11:35,1396.18,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,4,2014-12-10 14:25:41,139.83,,,1,"b'b"" Actually", this stuff has been moved and refactored quite a bit since then. I\'m going to close the issue in the hopes that it got fixed along the way, but if you\'re still experiencing build issues," please reopen it with an updated error output.  Thanks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,closed,2015-06-11 20:31:25,139.83,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,107,closed,-,-,-,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,opened,2014-12-10 15:12:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,title,2014-12-10 15:12:28,00:00,,1,,"b""b' Allow selection of SSL Context based on target IP in addition to SNI'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
