REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,1,2011-02-07 13:14:51,1269.52,,1,,"b'b"" Hm. I overlooked the fact that SparkleShare uses it\'s own key. Why isn\'t is using the default .ssh/ setup?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,2,2011-02-07 13:14:51,182.6,,1,,"b""b' because those are usually locked with a password. which causes all sorts of issues trying to read the command line output. If your normal key is unlocked and added to the ssh-agent SparkleShare should be able to pick it up though.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,3,2011-02-07 13:14:51,6.27,,,1,"b'b"" Well", there\'s a good reason to use password protected keys. For that same reason I want to use that with SparkleShare, too I have my own ssh-agent (using Ubuntu\'s default keyring) which is unlocked at login. All applications pick that up without a problem, why doesn\'t SparkleShare just look at the default environment for this, asking to unlock a key at startup," if needed?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,4,2011-02-07 13:14:51,7.92,,1,,"b'b"" i\'m not sure what is wrong then"," it should pick it up...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,5,2011-02-07 13:14:51,5.3,,1,,"b'b"" You seem to be starting your own ssh-agent instance: ps aux | grep ssh-agentserge   2771  0.0  0.0  11940 524 ?    Ss Feb07 0:26 ssh-agent mono / Whilst Ubuntu does not use ssh-agent", but gnome-keyring-daemon, which is started by the login session. Also, starting your own ssh-agent wouldn\'t meet the idea of using an existing agent, but I might be missing something there. I\'m not exactly expert in this matter, but if I can test things out for you," feel free to mail me in private.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,6,2011-02-07 13:14:51,2.8,,1,,"b""b' oh", right," i though i removed that code from the launcher script. will investigate. meanwhile you can try editing '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,7,2011-02-07 13:14:51,14.27,,1,,"b'b"" I\'m using the 0.2+git20110209~ppa1 version from url I assumed that was up to date", maybe that\'s part of the problem. I looked at the / start script," and it doesn\'t match the latest version from git. But. The Git version is checking for $SSH_AUTH_PID which doesn\'t get set by gnome-keyring. I do have an SSH_AUTH_SOCK and a GNOME_KEYRING_PID though.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,8,2011-02-07 13:14:51,776.77,,1,,"b'b"" I\'ve just made a pull request for a patch to fix this problem.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,9,2011-02-07 13:14:51,921.4,,1,,"b""b' some more thoughts on the issue: url  (closed as duplicate of this one)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,reopened,2011-03-19 12:09:53,1375.03,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
