REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,2,2012-08-15 02:28:01,529.32,,1,,b'b\' Hm," got this: C:\\\\windows\\\\system32>pip install -Uurl url Downloading master (494Kb): 494Kb downloaded  Running  egg_info for package fromurl  Exception:Traceback (most recent call last):  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\""", line 104, in main  status = (options," args)  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\commands\\\\""", line 245,"in run bundle=)  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\""", line 1009," inprepare_files  req_to_()  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\""", line 230," in run_egg_info  ""%(Name)s==%(Version)s"" % ())  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\""", line 318," in pkg_info  data = (\\\'PKG-INFO\\\')  File ""C:\\\\Python32\\\\lib\\\\site-packages\\\\pip\\\\""", line 261," inegg_info_data  data = ()  File ""C:\\\\Python32\\\\lib\\\\encodings\\\\cp1252.py""", line 23, in decode  return (input,,decoding_table)[0]UnicodeDecodeError: \\\'charmap\\\' codec can\\\'t decode byte 0x8f in position21306: character maps to  Storing complete log in C:\\\\Users\\\\scottha\\\\AppData\\\\Roaming\\\\pip\\\\ C:\\\\windows\\\\system32On Wed, Aug 15, 2012 at 6:19 PM, Jakub Roztocil notifications@:##  Scott HanselmanHelp me? url \''
httpie,85,closed,reopened,2012-08-16 11:55:57,644.47,2,1,1,,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,closed,2012-08-16 19:02:45,426.8,2,1,1,,,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,3,2012-08-15 02:28:01,541.67,,,1,"b'b"" Fixed now. You might be the first person to try HTTPie on Windows with Python 3 :)  I\'ve noticed that along with the install process being broken", colorising doesn\'t work in this environment either (#87). Until it gets fixed," you can use [to skip colorising]url  as a workaround.""'",,,,,,,,,,,,,,,,,,,
httpie,85,closed,4,2012-08-15 02:28:01,1112.35,,1,,"b""b' \\xe2\\x80\\xa6and colors are working as well now'""",,,,,,,,,,,,,,,,,,,,,
httpie,85,closed,-,-,-,2,2,2,,,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,opened,2012-09-11 22:32:17,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,title,2012-09-11 22:32:17,00:00,,1,,"b""b' Option to force pretty output on response"," regardless of Content-type.'""",,,,,,,,,,,,,,,,,,,,
httpie,92,closed,body,2012-09-11 22:32:17,00:00,,,1,"b'b\' I\\\'m noticing a few places where the response headers are coming back with a Content-type of """" when they actually contain JSON. It would be nice if", in cases like these," you could somehow specify a format to ""force"" on the response so that the body could still be prettified.\''",,,,,,,,,,,,,,,,,,,
httpie,92,closed,1,2012-09-11 22:32:17,2.22,,1,,"b""b' Ah"," I see this is related to url  which seems to address this very need. Closing ticket...'""",,,,,,,,,,,,,,,,,,,,
httpie,92,closed,closed,2012-09-11 22:34:30,2.22,0,2,1,,,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,2,2012-09-11 22:32:17,15.47,,1,,"b'b"" Actually", looks like that change didn\'t make it in. Any chance something similar could be added in? Maybe a way to override the response headers with user-specified values (similar to the headers argument," but for responses)?""'",,,,,,,,,,,,,,,,,,,
httpie,92,closed,reopened,2012-09-11 22:50:04,15.57,0,3,1,,,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,3,2012-09-11 22:32:17,216.82,,,1,"b""b' :thumbsup: This would be nice to have. Some servers respond with and bodies.'""",,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,4,2012-09-11 22:32:17,565.55,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,5,2012-09-11 22:32:17,770.27,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,6,2012-09-11 22:32:17,1388.05,,1,,"b'b"" FWIW"," i\'m workarounding invalid content type responses by piping the output to [jq]url ""'",,,,,,,,,,,,,,,,,,,,
httpie,92,closed,7,2012-09-11 22:32:17,1351.25,,1,,"b""b' see #368 '""",,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,closed,2016-03-01 06:58:06,488.03,0,7,2,,,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,8,2012-09-11 22:32:17,598.6,,1,,"b""b' Now with the option HTTPie tries to detect JSON responses when the is unknown or  .'""",,,,,,,,,,,,,,,,,,,,,
httpie,92,closed,9,2012-09-11 22:32:17,1343.07,,,1,"b'b"" Right", but there\'s still no way to force it, so if the Content-Type is but the content is JSON, then you\'re still out of luck you have to pipe through or something. Given the number of poorly configured REST API endpoints in the world," having the option to  the Content-Type seems like a valid request.""'",,,,,,,,,,,,,,,,,
httpie,92,closed,-,-,-,0,8,3,,,,,,,,,,,,,,,,,,,,,,
httpie,99,open,opened,2012-10-26 22:25:08,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,99,open,title,2012-10-26 22:25:08,00:00,,1,,"b""b' Add equivalent cURL resolve flag'""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,body,2012-10-26 22:25:08,00:00,,1,,"b""b' Per cURL help: resolve HOST:PORT:ADDRESS  Force resolve of HOST:PORT to ADDRESS (bypasses hosts file) example usage: OR  '""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,1,2012-10-26 22:25:08,607.07,,1,,"b""b' I think you can achieve the same thing by explicitly setting the header:  '""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,closed,2013-04-11 08:32:59,607.85,0,3,0,,,,,,,,,,,,,,,,,,,,,,
httpie,99,open,2,2012-10-26 22:25:08,1242.17,,1,,"b'b"" The above trick doesn\'t work for HTTPS sites. We need a full resolve option similar to curl.""'",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,reopened,2015-10-19 06:13:46,1300.78,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,99,open,3,2012-10-26 22:25:08,806.48,,1,,"b'b"" I\'m using httpie to test that I setup my DNS round-robin correctly. +1 for feature""'",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,4,2012-10-26 22:25:08,449.37,,1,,"b'b"" Just curious...  This has been open for over a year now (since it was reopened)... any chance it\'s getting looked at?  Seems like a useful feature to have.  ""'",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,5,2012-10-26 22:25:08,892.27,1,,,"b'b"" The underlying software that HTTPie uses does not allow people to specify their own IP addresses for a specific host. It\'s unlikely it will be added there. So"," @aztlan2k it\'s not likely this is being worked on. Sorry. :/""'",,,,,,,,,,,,,,,,,,,,
httpie,99,open,6,2012-10-26 22:25:08,199.48,,,1,"b'b"" Hi! I\'ve submitted some code and would appreciate any comments.""'",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,7,2012-10-26 22:25:08,186.57,,1,,"b""b' Just re-submitted via another PR. Would you mind to check?'""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,8,2012-10-26 22:25:08,541.08,,1,,"b""b' Any chance of getting this merged? @jakubroztocil '""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,9,2012-10-26 22:25:08,460.77,,,1,"b""b' That would be great to prepare site migration and avoid problems!'""",,,,,,,,,,,,,,,,,,,,,
httpie,99,open,-,-,-,1,8,2,,,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,opened,2012-11-29 07:16:57,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,title,2012-11-29 07:16:57,00:00,,1,,"b""b' Use $PAGER on isatty'""",,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,body,2012-11-29 07:16:57,00:00,,,1,"b""b' Very well done! This is Fantastic! Finally a HTTP client that actually shows you uhm well HTTP =)  Works like a charm", pointed it at the github api and there it is, line for line at your finger tips. What more could you want? Well... if its ok to make one tiny little request.  When making queries with lots of data in the body, like those github datasets," you end up at the bottom of the results completely missing the headers which just flew past and then having tol scroll up every time to get to the part you were mainly interested in.  We could do with a little paging action would you agree? Want some? All yours! =) My contribution and gratitude:  this proposal lets the  $PAGER environment variable be queried for a pager of your choice or we fall back to  . Pipes and redirects are not affected. Streaming directly to pager so no tmp files or any such nonsense. Commit messages have more details. Keep up the good work! =) nJoy!'""",,,,,,,,,,,,,,,,,
httpie,108,closed,1,2012-11-29 07:16:57,421.35,,,1,"b'b"" @nicklThanks a lot for your effort but this idea has been discussed and abandoned before because it\'s not always desirable to show the output in a pager. Also the way the pager is implemented wouldn\'t play nice with streamed responses. Try adding this to your as an alternative:  ""'",,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,closed,2012-12-01 14:18:18,421.35,0,1,2,,,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,2,2012-11-29 07:16:57,249.23,,1,,"b""b' Fair enough...'""",,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,3,2012-11-29 07:16:57,1272.72,,1,,"b""b' There is one problem with your suggested work around"," it is not tty anymore and therefor looses the formatting ond colourizations which my proposed solution did not. This would have to be driven by the application as piping or redirect are intentionally geared at other purposes than viewing and should not be regarded as such. If streaming is your concern we could easily assume that streaming is for non tty purposes and treat it as such while still providing the functionality to view formatted output in your designated pager without the need to pipe the output.'""",,,,,,,,,,,,,,,,,,,,
httpie,108,closed,4,2012-11-29 07:16:57,1136.62,,,1,"b""b' I miss so much this feature ... I may help building it the right way. First you may consider using something like or comparing lines and terminal height before using a pager. This way", the pager shows as a pager only if needed, like in  . About playing nice with streamed responses," what is exactly the problem ?'""",,,,,,,,,,,,,,,,,,
httpie,108,closed,5,2012-11-29 07:16:57,219.47,,,1,"b'b"" @JulienPalard I was not aware of the option provided by  .  The [streaming]url  issue:  With  ", the response is written out line by line. Since it can be a long-lived request, there might be delays between individual lines (eg. a realtime search API, etc.). So buffering the output wouldn\'t be an option.  But avoids this issue. I will look into this. Help would be appreciated with coming up with a solution to getting terminal , and invoking a pager, that would work on Python 2.6+ and  with no dependencies.  Or, even better," an equivalent to that works on Windows.""'",,,,,,,,,,,,,,
httpie,108,closed,reopened,2014-07-16 14:16:20,1438.03,0,3,4,,,,,,,,,,,,,,,,,,,,,,
